,Название,Город,Описание,Ссылки
223,НПОГП / NPOGP,Тамбов,"Научно Производственное Объединение «Граффити Прибор». БбБЮренд одежды для всех видов уличной активности, история которого начинается с 2011 года на улицах Тамбова.Наша одежда воплощает в себе только самое нужное для улиц.Сочетание востребованных приемов и технических решений милитари, рабочей и спортивной одежды.Бомбинг в нашем движении был первоосновой, 2010 год , когда полностью переосмыслен почти 10 летний опыт граффити активности, появляется инновационное устройство «УХВАТ» для распыления 2 баллонов одновременно. Все это дало мощный толчок для создания нечто большего.Современное проявление НПОГП — это сформированный взгляд на граффити и стрит культуру.","['https://npogp.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/npogp.wear/?ref=russianstreetwear.club', 'https://vk.com/npogp?ref=russianstreetwear.club']"
224,Омен Бойз,Москва,"С 2017 года мы делаем уличную одежду. Тщательно подбираем ткани, тестируем новые технологии перед запуском производства и уделяем внимание деталям. Самое главное для нас - комфорт при носке и эмоции. Мы хотим, чтобы каждый кайфовал не только одеваясь в наши вещи, но и при виде этих вещей на других людях.","['https://omenboyz.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/omenboyz/?ref=russianstreetwear.club', 'https://vk.com/omenboyz?ref=russianstreetwear.club']"
225,Омут!Кастом,Москва,"«Омут!Кастом» – это московский бренд, который занимается ручной печатью на оверсайз футболках. Каждое изделие выполнено из хлопка высокого качества и полностью отшито в России.Основная концепция бренда – самобытные и уникальные принты. Это абстрактные образы, вырванные из окружающей повседневности.","['https://instagram.com/omut_custom?ref=russianstreetwear.club', 'https://vk.com/public212249136?ref=russianstreetwear.club']"
226,Парадиз,Москва,Парадиз как рай на Земле. Роза как признание в Любви.,"['https://www.instagram.com/paradiz.moscow/?ref=russianstreetwear.club', 'https://vk.com/paradiz.moscow?ref=russianstreetwear.club']"
227,ПЕПЕЛ МОИХ ВРАГОВ,Самара,"Одежда для тех, кому близка тема злости, лицемерия, двойных стандартов и философии выродков.","['https://www.instagram.com/pepel63/?ref=russianstreetwear.club', 'https://vk.com/pepel63?ref=russianstreetwear.club']"
228,Питерский Щит,Санкт-Петербург,"Питерский Щит — бренд родившийся в 2012 году на улицах юго-запада Санкт-Петербурга. Наша концепция вышла далеко за рамки производства одежды. С первых дней существования мы тесно связаны с уличной культурой, став её неотъемлемой частью. Мы ежегодно организуем мероприятия связанные с хип-хоп культурой, соревнования по уличным видам спорта. Помогая в организации и проведении мероприятий, Питерский Щит стал спонсором для спортсменов, музыкантов и художников из разных уголков мира.Питерский Щит — бренд родившийся в 2012 году на улицах юго-запада Санкт-Петербурга.Наша концепция вышла далеко за рамки производства одежды. С первых дней существования мы тесно связаны с уличной культурой, став её неотъемлемой частью. Мы ежегодно организуем мероприятия связанные с хип-хоп культурой, соревнования по уличным видам спорта. Помогая в организации и проведении мероприятий, Питерский Щит стал спонсором для спортсменов, музыкантов и художников из разных уголков мира.","['https://www.spbshield.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/spb_shield/?ref=russianstreetwear.club', 'https://vk.com/spbshield?ref=russianstreetwear.club']"
229,ПОДПОЛЬЕ,Самара,мерч для романтиков.,"['https://www.instagram.com/podpol.co/?ref=russianstreetwear.club', 'https://vk.com/podpol_co?ref=russianstreetwear.club']"
230,ПОЛОСА,Нижний Новгород,"«...Мы построим своё, в разы более честное, сильное и культурное. Для того, чтобы на что-то притязать, нужно это доказать, потому что не нравится может многое, а вот не соглашаться и ныть или сделать все по-другому так, чтобы тебя это устраивало — это наш сегодняшний выбор».","['https://polosabrand.com/?ref=russianstreetwear.club', 'https://www.instagram.com/polosa.brand/?ref=russianstreetwear.club', 'https://vk.com/polosabrand?ref=russianstreetwear.club']"
231,ПРОВИНЦИЯ,Киров,"«Провинция» была создана в начале 2018 года как экспериментальная марка одежды, пропитанная духом российской действительности и несерьёзным отношением к современной моде.Использованные в оформлении приемы, ассоциативно отсылающие к обмундированию силовых структур, порождают ироничный эффект и смысловую игру.«Провинция» в качестве бренда, с одной стороны, отражает самоощущение депрессивных регионов, а с другой – возвращает жителям малых городов утраченную гордость»","['https://provincerussia.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/provincerussia/?ref=russianstreetwear.club', 'https://vk.com/provincerussia?ref=russianstreetwear.club']"
232,ПСИХ,Кирово-Чепецк,"ПСИХ — это бренд одежды, существующий с 1 августа 2018, до сегодняшних дней.Впитав в себя эстетику ужасов человечества, мы выражаем их крики в каждой складке на твоём худи. Надев раз, ты не сможешь избавиться от этого. Оно навсегда останется с тобой, где-то глубоко под кожей, впитывая в себя всю боль и страдания. Мы наложим швы на твои раны, но сможешь ли ты жить с этим?ПСИХ — это больше, чем просто одеяние для твоего скелета.ПСИХ — это визуализация самых далёких уголков разума.","['https://psihclothes.com/?ref=russianstreetwear.club', 'https://www.instagram.com/psihclothes/?ref=russianstreetwear.club', 'https://vk.com/psihclothes?ref=russianstreetwear.club']"
233,РАССВЕТ,Москва,"Скейтерский бренд «Рассвет», основанный Гошей Рубчинским и Толей Титаевым.","['https://www.rassvetnezagorami.com/?ref=russianstreetwear.club', 'https://www.instagram.com/rassvetmoscow/?ref=russianstreetwear.club', 'https://vk.com/rassvetmoscow2016?ref=russianstreetwear.club']"
234,Ривер Спот,Санкт-Петербург,"Творческое объединение образованное в Санкт-Петербурге друзьями единомышленниками, которое олицетворяет уникальный подход к повседневной одежде, предлагая свежий взгляд на стиль и комфорт. Мы стремимся  к переосмыслению традиционной моды, добавляя в нее нотки авангарда, легкости и утонченности.","['https://www.instagram.com/riverspotclothing?ref=russianstreetwear.club', 'https://vk.com/river.spot?ref=russianstreetwear.club']"
235,С7МЬ,Санкт-Петербург,Свобода воли.Торжество личности.Дерзость и провокация.,"['https://www.instagram.com/7_apparel/?ref=russianstreetwear.club', 'https://vk.com/7apparel?ref=russianstreetwear.club']"
236,Светоч,Москва,"Проект, вдохновленный русской культурой разных исторических эпох.","['https://www.instagram.com/svetoch.clo/?ref=russianstreetwear.club', 'https://vk.com/svetoch_clo?ref=russianstreetwear.club']"
237,СЕВЕР,Новосибирск,"«СЕВЕР» — это воплощение нашей сути. Рассказ о мире, в котором мы. Наш бренд для тех, кто не прячет своё бунтарское нутро. Для тех, кому хватает смелости нагло идти вперёд, а не передвигаться перебежками.","['https://www.instagram.com/severclothing/?ref=russianstreetwear.club', 'https://vk.com/severrussianbrand?ref=russianstreetwear.club']"
238,Сила ветра,Москва,"Сила ветра - крупнейшее яхтенное сообщество в России.Одежда Силы ветра - не просто фирменный мерч любимого бренда, это попытка выйти за рамки отношения к яхтингу как к чему-то специаль­ному.Это экипировка в которой будет комфортно на прогулке по городским улицам, тренировках в непогоду или путешествиях на яхте.",['https://shop.silavetra.com/?ref=russianstreetwear.club']
239,синтетика,Москва,None,"['https://sinteti.ca/?ref=russianstreetwear.club', 'https://www.instagram.com/sinteti.ca/?ref=russianstreetwear.club', 'https://vk.com/sintetica.shop?ref=russianstreetwear.club']"
240,СИЯНИЕ,Нижний Новгород,"В основе — высокое качество и дизайн, который мы создаем в коллаборации со смелыми и дерзкими мира сего: с digital-дизайнерами, тату- и граффити-мастерами, каллиграфами и другими творческими персонами.","['https://siyaniewear.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/siyaniewear.ru/?ref=russianstreetwear.club', 'https://vk.com/siyaniewearru?ref=russianstreetwear.club']"
241,СПУТНИК1985,Москва,"Мы производим одежду, которую носим сами, и в которую наряжаются наши товарищи. Так, чтобы и через забор перебраться удобно, и во время культурного досуга выглядеть лицеприятно. Мы не романтизируем образ бродяги.","['https://sputnik1985.com/?ref=russianstreetwear.club', 'https://www.instagram.com/sputnik1985/?ref=russianstreetwear.club', 'https://vk.com/sputnik1985?ref=russianstreetwear.club']"
242,Сценарий,Тюмень,None,"['https://www.instagram.com/tyumen_scenario?ref=russianstreetwear.club', 'https://m.vk.com/tyumenscenario?ref=russianstreetwear.club']"
243,Тайга,None,"«...Я большой фанат сибирских хаски, сейчас у меня четыре собаки. И вот очень хотелось футболку с каким-нибудь принтом на тему хаски. Но ничего подходящего у нас в России просто не нашел. В прошлом я немного занимался графическим дизайном, поэтому нарисовал иллюстрацию с хаски и напечатал на бланковой футболке. А потом люди стали спрашивать, где я раздобыл такую вещь. Напечатал небольшой тираж, который очень быстро разошелся по друзьям и знакомым. Ну а дальше все это выросло в свою марку». Денис Проскурин","['https://taigaclothing.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/taiga.co/?ref=russianstreetwear.club', 'https://vk.com/taigaclothing?ref=russianstreetwear.club']"
244,ТАЙНА,Тверь,Никому не говори.,"['https://www.instagram.com/tainawear.ru/?ref=russianstreetwear.club', 'https://vk.com/tainawear?ref=russianstreetwear.club']"
245,Тяга к спорту,Краснодар,Клуб анонимных спортсменов.,"['https://www.instagram.com/tyaga_k_sportu/?ref=russianstreetwear.club', 'https://vk.com/tyaga_k_sportu?ref=russianstreetwear.club']"
246,Уч-Сумер,Барнаул,"Мы родом из Сибири. Из места, где живописная природа приютила множество народов. Из места, где все еще живут шаманы, а люди верят в лесных и горных духов. Из места, с которым связаны сотни легенд. Вдохновленные магией этой земли, мы придумали свои сказки Уч-Сумера, которыми хотим поделиться с вами.","['https://uchsumerwear.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/uchsumer_wear/?ref=russianstreetwear.club', 'https://vk.com/uchsumerwear?ref=russianstreetwear.club']"
247,ФАКОРИ,Москва,STREET WEAR BRAND LOOK LIKE CHIEF KEEF*,"['http://faqory.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/faqorymsk?ref=russianstreetwear.club', 'https://vk.com/faqory?ref=russianstreetwear.club']"
248,Фрик-бутик,Санкт-Петербург,"Фрик-бутик — это марка одежды FB42 и собственное производство в Санкт-Петербурге, благодаря которому вещи мало отличаются по уровню от индивидуального пошива. Вещи выполнены только из натуральных и долговечных материалов. ","['https://www.freak-butik.ru/about/?ref=russianstreetwear.club', 'https://www.instagram.com/freakbutik_spb/?ref=russianstreetwear.club', 'https://vk.com/freak_butik?ref=russianstreetwear.club']"
249,Черное Молоко,Санкт-Петербург,Из Петербурга с апатией.,"['https://www.instagram.com/molo.clo/?ref=russianstreetwear.club', 'https://vk.com/moloclo?ref=russianstreetwear.club']"
250,Чукча,Казань,Мы создаем качественную одежду для любителей природы и экстремального спорта на природе с 2009 года.,"['https://chukchas.com/?ref=russianstreetwear.club', 'https://www.instagram.com/chukchabrand/?ref=russianstreetwear.club', 'https://vk.com/chukchabrand?ref=russianstreetwear.club']"
251,шторм.,Иркутск,"сибирский стритвир бренд местного производства, в котором большое внимание уделяется качеству и деталям. каждая коллекция лимитированная и больше не будет произведена. у вещей из каждой коллекции есть свой уникальный номер на наружной бирке.","['http://instagram.com/storm.stwear?ref=russianstreetwear.club', 'http://vk.com/stormwear?ref=russianstreetwear.club']"
252,ЮНОСТЬ,Москва,"Марка одежды «Юность» была основана в 2013 году в США в городе Майами двумя старыми друзьями из Москвы. Антон и Максим занимались одеждой на тот момент уже 6 лет. Еще в далеком 2008 году появились первые идеи Максима сделать марку «Юность» и был нарисован фирменный кот, но рынок был не готов к кириллице. И только спустя годы ребята решили объединить усилия вновь, дабы создать нечто новое и на более высоком уровне. И у них получилось.","['https://weareyoung.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/yunost_brand/?ref=russianstreetwear.club', 'https://vk.com/yunost_brand?ref=russianstreetwear.club']"
